occupation,numberEmployed,averageSalary,
"Philosophy and Religion Teachers, Postsecondary",23180,77420,
Agricultural Engineers,1980,77330,
Budget Analysts,54700,77170,
First-Line Supervisors of Fire Fighting and Prevention Workers,57170,77050,
Elevator Installers and Repairers,22240,76860,
Microbiologists,21670,76850,
Accountants and Auditors,1246540,76730,
"Media and Communication Equipment Workers, All Other",18620,76500,
Fashion Designers,19230,76480,
Loan Officers,305700,76260,
"Financial Specialists, All Other",123270,76230,
"English Language and Literature Teachers, Postsecondary",71270,76140,
Nuclear Medicine Technologists,19650,75960,
"Farmers, Ranchers, and Other Agricultural Managers",4560,75790,
Insurance Underwriters,91650,75480,
"Environmental Scientists and Specialists, Including Health",84250,75360,
"Nursing Instructors and Teachers, Postsecondary",56210,75030,
Genetic Counselors,2720,74960,
"Business Operations Specialists, All Other",958670,74870,
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",23060,74540,
"Communications Teachers, Postsecondary",28180,74360,
"Social Work Teachers, Postsecondary",11860,74280,
Ship Engineers,9750,74120,
Geographers,1370,74090,
"Postsecondary Teachers, All Other",194870,73990,
Power Plant Operators,35010,73800,
"Foreign Language and Literature Teachers, Postsecondary",28720,73750,
Dental Hygienists,204990,73440,
Technical Writers,49780,73160,
Urban and Regional Planners,34810,73060,
Animal Scientists,2470,72890,
"Home Economics Teachers, Postsecondary",2970,72790,
"Arbitrators, Mediators, and Conciliators",6300,72730,
Transportation Inspectors,27430,72650,
Occupational Health and Safety Specialists,76630,72480,
"Library Science Teachers, Postsecondary",4870,72340,
Multimedia Artists and Animators,29810,72200,
Registered Nurses,2857180,72180,
Web Developers,129540,72150,
Postmasters and Mail Superintendents,14720,71980,
Writers and Authors,44690,71920,
Diagnostic Medical Sonographers,65790,71750,
"Makeup Artists, Theatrical and Performance",3600,71590,
Food Scientists and Technologists,14200,71270,
Aerospace Engineering and Operations Technicians,11970,71070,
Commercial and Industrial Designers,31860,70880,
Social and Community Service Managers,126230,70870,
Market Research Analysts and Marketing Specialists,558630,70620,
"Property, Real Estate, and Community Association Managers",180290,70290,
"Education Teachers, Postsecondary",58850,70260,
Compliance Officers,273910,70250,
Orthotists and Prosthetists,7500,69920,
Soil and Plant Scientists,14690,69290,
Magnetic Resonance Imaging Technologists,35850,69240,
Landscape Architects,19420,68820,
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",1404050,68410,
First-Line Supervisors of Construction Trades and Extraction Workers,538220,68040,
Gas Plant Operators,17350,67980,
"Recreation and Fitness Studies Teachers, Postsecondary",17390,67870,
"Petroleum Pump System Operators, Refinery Operators, and Gaugers",41630,67870,
Transit and Railroad Police,4810,67850,
Computer Network Support Specialists,188740,67770,
Insurance Sales Agents,385700,67760,
"Purchasing Agents, Except Wholesale, Retail, and Farm Products",297600,67420,
Electrical Power-Line Installers and Repairers,117670,67160,
"Criminal Justice and Law Enforcement Teachers, Postsecondary",14620,67040,
"First-Line Supervisors of Mechanics, Installers, and Repairers",453330,66730,
Cost Estimators,214610,66620,
Public Relations Specialists,226940,66540,
"Compensation, Benefits, and Job Analysis Specialists",79190,66490,
Anthropologists and Archeologists,6470,66440,
"Legal Support Workers, All Other",44960,66170,
Cartographers and Photogrammetrists,12100,66160,
Editors,97170,66080,
"Insurance Appraisers, Auto Damage",15130,65930,
Instructional Coordinators,147330,65500,
Sound Engineering Technicians,15210,65240,
Conservation Scientists,20470,65130,
First-Line Supervisors of Correctional Officers,43230,65100,
"Claims Adjusters, Examiners, and Investigators",274420,64990,
Human Resources Specialists,524800,64890,
Zoologists and Wildlife Biologists,17720,64890,
"Artists and Related Workers, All Other",7010,64630,
Labor Relations Specialists,79430,64250,
"Engineering Technicians, Except Drafters, All Other",74290,64050,
"Special Education Teachers, Secondary School",132490,64020,
"Buyers and Purchasing Agents, Farm Products",11490,63910,
Locomotive Firers,1210,63750,
Advertising Sales Agents,141100,63660,
Surveyors,43340,63480,
Electrical and Electronics Drafters,26750,63390,
Training and Development Specialists,269710,63350,
"Designers, All Other",7230,63270,
"Camera Operators, Television, Video, and Motion Picture",21710,63200,
"Sales Representatives, Services, All Other",953870,63070,
Electrical and Electronics Engineering Technicians,134870,62950,
Police and Sheriff's Patrol Officers,657690,62760,
Signal and Track Switch Repairers,8680,62710,
Medical and Clinical Laboratory Technologists,166730,62440,
Subway and Streetcar Operators,12350,62380,
Geological and Petroleum Technicians,15100,62240,
Boilermakers,16660,62200,
"Special Education Teachers, Middle School",90250,61910,
Pile-Driver Operators,3570,61740,
Fire Inspectors and Investigators,11910,61660,
First-Line Supervisors of Production and Operating Workers,610480,61450,
"Secondary School Teachers, Except Special and Career/Technical Education",1003250,61420,
Stationary Engineers and Boiler Operators,33720,61410,
Avionics Technicians,17330,61390,
Construction and Building Inspectors,94960,61250,
Aircraft Mechanics and Service Technicians,128570,61190,
Locomotive Engineers,39900,61020,
Historians,2950,60990,
Forensic Science Technicians,14800,60690,
Respiratory Therapists,126770,60640,
Music Directors and Composers,18380,60630,
"Therapists, All Other",11320,60590,
"Career/Technical Education Teachers, Middle School",12730,60350,
Foresters,8420,60300,
"Special Education Teachers, Kindergarten and Elementary School",190530,60090,
"Wholesale and Retail Buyers, Except Farm Products",109440,60040,
Survey Researchers,11930,59950,
Librarians,129350,59870,
Judicial Law Clerks,13410,59840,
"Electrical and Electronics Installers and Repairers, Transportation Equipment",13960,59840,
"Middle School Teachers, Except Special and Career/Technical Education",626310,59800,
First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,202760,59800,
Dietitians and Nutritionists,61430,59670,
Gas Compressor and Gas Pumping Station Operators,3890,59620,
Occupational Therapy Assistants,38170,59530,
"Career/Technical Education Teachers, Secondary School",80100,59480,
"Rail Transportation Workers, All Other",4470,59480,
"Special Education Teachers, All Other",40190,59450,
Chemical Plant and System Operators,33300,59430,
Lodging Managers,35410,59410,
"Social Workers, All Other",59540,59410,
Real Estate Sales Agents,151840,59360,
Radiologic Technologists,200650,59260,
"Elementary School Teachers, Except Special Education",1392660,59020,
Curators,11170,58910,
Mathematical Technicians,510,58490,
Railroad Conductors and Yardmasters,42880,58220,
