occupation,numberEmployed,averageSalary,
"Coin, Vending, and Amusement Machine Servicers and Repairers",33600,34860,
Cabinetmakers and Bench Carpenters,97980,34800,
Light Truck or Delivery Services Drivers,858710,34790,
Library Technicians,93410,34780,
First-Line Supervisors of Food Preparation and Serving Workers,908550,34700,
Upholsterers,32520,34640,
Adhesive Bonding Machine Operators and Tenders,16940,34610,
Animal Trainers,13590,34580,
"Material Moving Workers, All Other",23880,34540,
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",85760,34460,
Etchers and Engravers,9520,34390,
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",71260,34370,
"Religious Workers, All Other",8250,34300,
Industrial Truck and Tractor Operators,542750,34260,
Ophthalmic Laboratory Technicians,28570,34220,
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",192800,34210,
"Electronic Equipment Installers and Repairers, Motor Vehicles",11750,34200,
Segmental Pavers,1720,34160,
Social and Human Service Assistants,360650,34120,
"Cutting and Slicing Machine Setters, Operators, and Tenders",61330,34000,
Veterinary Technologists and Technicians,99390,33870,
Conveyor Operators and Tenders,28590,33870,
Phlebotomists,120970,33750,
Electrical and Electronic Equipment Assemblers,218530,33700,
"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",35570,33690,
"Interviewers, Except Eligibility and Loan",186030,33640,
"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",23950,33610,
"Preschool Teachers, Except Special Education",385550,33300,
Print Binding and Finishing Workers,52730,33270,
Parts Salespersons,248740,33220,
"Shipping, Receiving, and Traffic Clerks",676990,33150,
Fiberglass Laminators and Fabricators,19400,33020,
"Office Clerks, General",2955550,33010,
"Grounds Maintenance Workers, All Other",15170,32930,
"Motor Vehicle Operators, All Other",53680,32930,
"Protective Service Workers, All Other",135120,32880,
Medical Assistants,623560,32850,
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",145560,32660,
"Molders, Shapers, and Casters, Except Metal and Plastic",39450,32590,
Team Assemblers,1112780,32550,
"Office Machine Operators, Except Computer",58160,32390,
"Production Workers, All Other",251670,32380,
Furniture Finishers,17370,32330,
Pharmacy Technicians,398390,32170,
Cooling and Freezing Equipment Operators and Tenders,8170,32100,
"Painting, Coating, and Decorating Workers",15450,32040,
Occupational Therapy Aides,7210,31840,
"Woodworkers, All Other",6750,31780,
Butchers and Meat Cutters,133880,31740,
Photographic Process Workers and Processing Machine Operators,26430,31740,
Data Entry Keyers,194810,31640,
"Helpers, Construction Trades, All Other",21820,31450,
Concierges,32020,31440,
File Clerks,130950,31260,
Forest and Conservation Workers,7170,31200,
"Bus Drivers, School or Special Client",515020,31110,
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",74460,31080,
"Transportation Attendants, Except Flight Attendants",18410,31080,
"Assemblers and Fabricators, All Other",230310,31050,
Manufactured Building and Mobile Home Installers,3200,31030,
Helpers--Electricians,71890,30980,
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",20080,30970,
"Building Cleaning Workers, All Other",15020,30960,
Packaging and Filling Machine Operators and Tenders,386520,30910,
Substitute Teachers,609960,30900,
"Grinding and Polishing Workers, Hand",26670,30860,
"Textile, Apparel, and Furnishings Workers, All Other",15650,30830,
Fishers and Related Fishing Workers,520,30740,
"Tailors, Dressmakers, and Custom Sewers",21660,30670,
"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",54080,30640,
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",17860,30590,
"Mail Clerks and Mail Machine Operators, Except Postal Service",91530,30580,
Demonstrators and Product Promoters,86500,30570,
Machine Feeders and Offbearers,88070,30490,
Agricultural Equipment Operators,28700,30430,
Food Cooking Machine Operators and Tenders,36520,30330,
Helpers--Carpenters,35890,30200,
Food Batchmakers,148540,30130,
Merchandise Displayers and Window Trimmers,114690,30090,
"Sawing Machine Setters, Operators, and Tenders, Wood",50640,29960,
Couriers and Messengers,74120,29920,
Barbers,15900,29900,
"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",76130,29850,
Security Guards,1103120,29730,
"Switchboard Operators, Including Answering Service",90910,29720,
"Hairdressers, Hairstylists, and Cosmetologists",352380,29590,
"Cutters and Trimmers, Hand",14250,29580,
Counter and Rental Clerks,450330,29390,
"Helpers--Installation, Maintenance, and Repair Workers",118720,29370,
Dietetic Technicians,32240,29360,
"Cooks, All Other",15490,29210,
Crossing Guards,72900,29190,
Receptionists and Information Clerks,997770,29120,
Helpers--Roofers,10190,28890,
Psychiatric Aides,67410,28770,
"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",10780,28760,
"Laborers and Freight, Stock, and Material Movers, Hand",2587900,28720,
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",8040,28630,
Landscaping and Groundskeeping Workers,906570,28560,
Orderlies,52940,28550,
Bicycle Repairers,12560,28520,
Textile Bleaching and Dyeing Machine Operators and Tenders,10860,28480,
Driver/Sales Workers,426310,28440,
Pharmacy Aides,36660,28420,
"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",21550,28380,
"Gaming Service Workers, All Other",12140,28300,
Gaming Cage Workers,18810,28120,
"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",30340,28110,
Tour Guides and Escorts,38660,28100,
Tellers,496760,28060,
Physical Therapist Aides,50030,27890,
"Textile Cutting Machine Setters, Operators, and Tenders",15040,27860,
Residential Advisors,110330,27690,
"Fabric Menders, Except Garment",550,27670,
Nursing Assistants,1443150,27650,
Floral Designers,43990,27610,
"Personal Care and Service Workers, All Other",54520,27460,
"Library Assistants, Clerical",98560,27450,
Recreation Workers,336880,27230,
Retail Salespersons,4528550,27180,
Telemarketers,215290,27170,
Tire Repairers and Changers,109350,27150,
Teacher Assistants,1263820,27120,
Funeral Attendants,35770,27110,
Bakers,180450,27110,
Slaughterers and Meat Packers,80780,27040,
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",2161740,27030,
Helpers--Production Workers,429890,26930,
"Farmworkers, Farm, Ranch, and Aquacultural Animals",35670,26840,
Veterinary Assistants and Laboratory Animal Caretakers,79990,26810,
Taxi Drivers and Chauffeurs,188860,26790,
Stock Clerks and Order Fillers,2016340,26670,
Shoe Machine Operators and Tenders,3500,26530,
"Cooks, Institution and Cafeteria",409850,26370,
Shoe and Leather Workers and Repairers,7780,26040,
Gaming Change Persons and Booth Cashiers,23120,25940,
Sewing Machine Operators,139500,25830,
"Food Processing Workers, All Other",43070,25800,
Gaming and Sports Book Writers and Runners,11460,25710,
"Sewers, Hand",6540,25630,
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",17300,25600,
Bartenders,603320,25580,
"Meat, Poultry, and Fish Cutters and Trimmers",149800,25510,
"Cooks, Restaurant",1217370,25430,
Baggage Porters and Bellhops,44750,24910,
Motion Picture Projectionists,5480,24750,
Cleaners of Vehicles and Equipment,348770,24660,
"Entertainment Attendants and Related Workers, All Other",14550,24610,
"Packers and Packagers, Hand",705660,24430,
Nonfarm Animal Caretakers,187360,24420,
Waiters and Waitresses,2564610,24410,
"Locker Room, Coatroom, and Dressing Room Attendants",18040,24390,
Manicurists and Pedicurists,90630,24330,
"Graders and Sorters, Agricultural Products",38780,24280,
Automotive and Watercraft Service Attendants,109790,24280,
Maids and Housekeeping Cleaners,924640,23830,
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",273450,23820,
Home Health Aides,814300,23600,
"Hotel, Motel, and Resort Desk Clerks",248440,23530,
"Food Servers, Nonrestaurant",261520,23490,
Parking Lot Attendants,146350,23250,
Laundry and Dry-Cleaning Workers,207710,23210,
"Food Preparation and Serving Related Workers, All Other",59060,23200,
"Cooks, Short Order",183990,23130,
Childcare Workers,569370,22930,
Food Preparation Workers,850670,22920,
Personal Care Aides,1492250,22710,
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",145100,22640,
Dining Room and Cafeteria Attendants and Bartender Helpers,423080,22340,
"Pressers, Textile, Garment, and Related Materials",45150,22270,
Amusement and Recreation Attendants,286740,22000,
Gaming Dealers,94570,21990,
"Ushers, Lobby Attendants, and Ticket Takers",117920,21740,
Cashiers,3541010,21680,
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",404360,21410,
"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",499550,21380,
Dishwashers,506450,21260,
Shampooers,15240,20960,
"Cooks, Fast Food",513200,20570,
"Combined Food Preparation and Serving Workers, Including Fast Food",3426090,20460,
,,
,,
,,
,,
