City,costofLivingIndex,rentIndex,costOfLivingPlusRentIndex,groceriesIndex,restaurantPriceIndex,LocalPurchasingPowerIndex
"Fayetteville, AR, United States",75.45,24.87,50.8,82.08,71.02,100.31
"Houston, TX, United States",70.65,43.51,57.42,71.36,70.78,150.73
"Greenville, SC, United States",75.86,35.85,56.37,84.83,70.63,120.11
"Kelowna, Canada",76.54,34.58,56.09,79.03,70.46,108.83
"Salem, OR, United States",70.69,31.98,51.83,70.89,70.34,105.35
"Montreal, Canada",71.94,26.62,49.86,72.29,70.3,115.32
"Fort Wayne, IN, United States",69.98,21.11,46.17,75.12,69.98,129.82
"Lubbock, TX, United States",67.76,23.79,46.34,64.07,69.68,130.34
"Eugene, OR, United States",79.67,30.95,55.93,92.54,69.58,108.46
"Phoenix, AZ, United States",66.39,32.74,49.99,62.43,69.5,138.25
"Salt Lake City, UT, United States",67.53,35.18,51.77,65.41,69.45,150.51
"Ottawa, Canada",70.3,31.55,51.42,65.87,69.41,143.86
"Portland, OR, United States",78.9,51.64,65.61,80.14,69.14,122.83
"Saint Louis, MO, United States",71.49,29.66,51.11,72.25,68.87,143.85
"Winnipeg, Canada",71.32,24.68,48.59,68.09,68.7,116.13
"Richmond, VA, United States",69.6,35.66,53.06,73.52,68.6,142.47
"Durham, NC, United States",66.76,35.13,51.35,64.94,68.51,146.49
"Syracuse, NY, United States",72.33,30.68,52.03,72.87,68.48,103.99
"Windsor, Canada",73.33,21.4,48.02,64.49,68.47,118.02
"Mississauga, Canada",73.61,36.47,55.51,69.64,68.46,107.53
"Madison, WI, United States",67.05,37.13,52.47,63.96,68.34,142.8
"Hamilton, Canada",68.28,27.74,48.52,63.35,68.04,116.27
"Moncton, Canada",73.52,18.82,46.87,72.61,67.95,92.82
"Louisville, KY, United States",66.26,27.74,47.49,66.16,67.89,126.07
"Dallas, TX, United States",66.92,42.7,55.12,63.39,67.87,170.04
"Vancouver, WA, United States",68.13,33.56,51.28,61.65,67.87,141.95
"Wichita, KS, United States",67.68,24.7,46.73,67.58,67.79,111.69
"Dayton, OH, United States",70.77,21.89,46.95,72.76,67.73,112.83
"London, Canada",70.83,24.59,48.29,66.91,67.62,100.8
"Regina, Canada",74.97,29.85,52.98,75.81,67.61,104.5
"Cincinnati, OH, United States",68.62,31.28,50.42,62.1,66.91,137.19
"Little Rock, AR, United States",71.61,24.57,48.69,77.93,66.86,131.95
"Quebec City, Canada",72.23,17.85,45.74,72.61,66.72,120.77
"Knoxville, TN, United States",62.29,29.19,46.16,59.65,66.65,123.64
"Fort Myers, FL, United States",70.43,31.53,51.47,73.78,66.46,84.86
"Columbia, SC, United States",70.31,29.22,50.29,76,66.35,91.87
"Fort Worth, TX, United States",68.95,34.79,52.31,67.6,66.04,138.27
"Boise, ID, United States",63.26,29.24,46.68,59.2,65.93,133.52
"Brampton, Canada",79.29,28.92,54.75,85.05,65.9,103.14
"Nanaimo, BC, Canada",74.46,26.5,51.09,82.35,65.8,96.36
"Spokane, WA, United States",69.94,27.23,49.13,70.12,65.75,133.9
"Detroit, MI, United States",71.6,35.1,53.82,67.47,65.56,124.2
"Pensacola, FL, United States",65.55,29.35,47.91,62.65,65.44,126.6
"Albuquerque, NM, United States",66.57,25.9,46.75,68.61,65.27,121.61
"Springfield, MO, United States",67.01,18.57,43.41,73.41,65.08,75.17
"Shreveport, LA, United States",72.73,25.18,49.56,79.08,65.06,79.16
"Reno, NV, United States",64.12,35.81,50.33,59.83,64.89,136.39
"Ann Arbor, MI, United States",71.02,45.03,58.35,71.1,64.88,158.99
"Gatineau, Canada",69.4,19.83,45.25,69.58,64.76,149.84
"Akron, OH, United States",73.27,21.4,47.99,77.98,64.47,98.59
"Plano, TX, United States",77.02,40.44,59.2,74.56,64.35,99.47
"Des Moines, IA, United States",70.28,31.09,51.18,74.74,64.32,128.53
"Tucson, AZ, United States",63.59,23.47,44.04,61.13,64.26,146.84
"Lexington, KY, United States",68.42,25.26,47.39,69.62,63.93,136.35
"Tulsa, OK, United States",67.48,28.2,48.34,68.52,63.9,125.74
"Columbus, OH, United States",70.69,35.04,53.32,68.62,63.77,126.36
