state_name,city,medianHouseholdIncome
Nevada,Crystal Bay CDP,165268
California,Coto de Caza CDP,165046
Ohio,Pepper Pike city,164471
Virginia,Brambleton CDP,164321
Missouri,Clarkson Valley city,164286
New York,Old Westbury village,164286
Pennsylvania,Woodside CDP,164211
New Jersey|Ho|Ho,Ho-Ho-Kus borough,163988
New Jersey,Cranbury CDP,163958
Nebraska,Walton CDP,163594
New Jersey,Ten Mile Run CDP,163150
Maryland,Cabin John CDP,163029
New York,Cold Spring Harbor CDP,162750
Colorado,Seven Hills CDP,162632
California|Highlands,Highlands-Baywood Park CDP,162552
Florida,Jupiter Inlet Colony town,162500
Illinois,Green Oaks village,162396
New York,Rye city,162394
Maryland,Chevy Chase CDP,162351
New Jersey,Mountain Lakes borough,162206
Texas,Colleyville city,162183
Illinois,Lake Forest city,162117
Maryland,Garrett Park town,162000
Texas,Shavano Park city,161964
Illinois,Mettawa village,161250
New Jersey,Fair Haven borough,161131
New York,Poquott village,160938
Colorado,Mountain Meadows CDP,160865
Virginia,Dunn Loring CDP,160774
New York,Russell Gardens village,160625
Illinois,Deer Park village,160461
Wisconsin,Lac La Belle village,160417
New Jersey,Franklin Lakes borough,160000
North Dakota,Logan CDP,160000
Texas,Hilshire Village city,159844
Kentucky,Indian Hills city,159737
Kentucky,Riverwood city,159688
New Jersey,Glen Rock borough,159247
New York,Pelham Manor village,158788
Delaware,Henlopen Acres town,158750
New York,Cove Neck village,158750
California,La Cañada Flintridge city,158438
California,Castle Hill CDP,158125
Nebraska,Woodland Hills CDP,158125
New York,Lido Beach CDP,157656
New York,Garden City village,157366
Virginia,Fairfax Station CDP,157132
Missouri,Town and Country city,156899
California,San Miguel CDP (Contra Costa County),156591
Pennsylvania,Haverford College CDP,156500
Illinois,Hawthorn Woods village,156413
California,Alhambra Valley CDP,156250
New York,Matinecock village,156250
Illinois,North Barrington village,156063
New York,Woodbury CDP,156033
Pennsylvania,Devon CDP,156012
California,Acampo CDP,155385
Pennsylvania,Edgeworth borough,154545
New York,Saddle Rock Estates CDP,154531
New York,Asharoken village,153750
Maryland,South Kensington CDP,153477
California,Shell Ridge CDP,153333
Washington,Sammamish city,153253
Texas,Southside Place city,153250
Maryland,Owings CDP,153000
Massachusetts,Lexington CDP,152872
New York,Fishers Island CDP,152652
New York,Great Neck Estates village,152614
Texas,Weston Lakes city,152574
New York,Larchmont village,152483
Virginia,Lowes Island CDP,152241
New York,Syosset CDP,152162
Ohio,Coldstream CDP,151765
New Jersey,Allendale borough,151641
Virginia,Independent Hill CDP,151506
Michigan,Village of Grosse Pointe Shores city,151440
New Jersey,Rockleigh borough,151250
Wisconsin,River Hills village,151111
Maryland,North Potomac CDP,150976
Illinois,Lake Bluff village,150962
Florida,Golden Beach town,150938
New Jersey,Woodcliff Lake borough,150862
New Jersey,Chatham borough,150625
New Jersey,Westfield town,150486
Maryland,Brookeville town,150417
Texas,Heath city,150319
Michigan,Franklin village,150250
Texas,Barton Creek CDP,150170
New Jersey,Demarest borough,150139
Maryland,Poolesville town,150000
Missouri,Frontenac city,149821
Washington,Woodway city,149821
Texas,West Lake Hills city,149531
California,Tiburon town,149510
Minnesota,North Oaks city,149507
California,Mill Valley city,149336
Massachusetts,Winchester CDP,149321
Pennsylvania,Woodbourne CDP,149293
New York,Chappaqua CDP,149205
Minnesota,Woodland city,149063
Connecticut,West Simsbury CDP,148934
Pennsylvania,Ben Avon Heights borough,148750
Texas,Hebron town,148750
Pennsylvania,Fox Chapel borough,148553
Tennessee,Oak Hill city,148500
Colorado,Peoria CDP,148393
Tennessee,Brentwood city,148340
Kentucky,Norbourne Estates city,148125
Pennsylvania,Fort Indiantown Gap CDP,148000
California,Cupertino city,147929
Kansas,Leawood city,147722
New York,Briarcliff Manor village,147610
Colorado,Columbine Valley town,147500
Maryland,Adamstown CDP,147500
Virginia,Wakefield CDP,147457
Illinois,Western Springs village,147361
New York,Head of the Harbor village,147083
Maryland,Fairwood CDP,146953
Colorado,Paragon Estates CDP,146935
California,Oak Glen CDP,146827
California,Lexington Hills CDP,146726
Maryland,Bethesda CDP,146664
California,Danville town,146603
Connecticut,Southport CDP,146429
Wisconsin,Chenequa village,146000
Illinois,Wayne village,145875
New Jersey,Oradell borough,145761
New York,Stony Brook University CDP,145703
Ohio,Terrace Park village,145625
New York,Katonah CDP,145568
Virginia,Wyndham CDP,145464
New York,Dix Hills CDP,145387
North Dakota,Oxbow city,145208
Florida,North Key Largo CDP,144896
California,Manhattan Beach city,144868
Virginia,Mason Neck CDP,144792
New Jersey,Ridgewood village,144734
Colorado,Genesee CDP,144732
Texas,Greatwood CDP,144625
California,East Foothills CDP,144479
Missouri,Huntleigh city,144375
New Jersey,Tenafly borough,144353
Illinois,Oak Brook village,144286
Missouri,Irena village,144167
Virginia,South Riding CDP,144042
Ohio,Concorde Hills CDP,144036
New York,Ardsley village,143906
New York,Jericho CDP,143829
Illinois,Deerfield village,143729
New York,Harbor Hills CDP,143472
New York,Gilgo CDP,143281
Virginia,Vienna town,143276
Minnesota,Minnetrista city,143191
Georgia,Dutch Island CDP,142989
California,Lafayette city,142977
New York,Crompond CDP,142935
Utah,Emigration Canyon CDP,142917
Virginia,Cascades CDP,142860
Virginia,Arcola CDP,142813
California|Tamalpais,Tamalpais-Homestead Valley CDP,142688
Texas,Lantana CDP,142375
California,Ladera Ranch CDP,142283
Maryland,Urbana CDP,141610
Indiana,Meridian Hills town,141563
North Carolina,Biltmore Forest town,141458
New Jersey,Richwood CDP,141406
New York,Searingtown CDP,141389
Virginia,Kings Park West CDP,141304
Virginia,Long Branch CDP,141276
Michigan,Orchard Lake Village city,141250
New York,East Williston village,141250
Wisconsin,Merton village,141250
Colorado,Castle Pines city,140764
Delaware,North Star CDP,140691
California,Kensington CDP,140690
New York,East Norwich CDP,140500
Virginia,Stone Ridge CDP,140467
New York,East Atlantic Beach CDP,140221
New York,Lawrence village,140221
California,Woodlands CDP,140188
California,San Marino city,139792
Ohio,Moreland Hills village,139539
Massachusetts,Needham CDP,139477
New Jersey,New Providence borough,139375
New Jersey,Robertsville CDP,139211
California,Montecito CDP,138872
Texas,Sienna Plantation CDP,138684
Illinois,Wilmette village,138651
New York,Merrick CDP,138570
Texas,Double Oak town,138482
New Jersey,Mendham borough,138241
Texas,Highland Village city,138058
Pennsylvania,Sewickley Hills borough,137969
California,Mission Canyon CDP,137727
Minnesota,Medina city,137692
Maryland,Brock Hall CDP,137663
New Jersey,Little Silver borough,137652
Illinois,Indian Creek village,137639
Ohio,Dry Run CDP,137543
Maryland,Woodmore CDP,137500
South Carolina,Kiawah Island town,137250
New York,Centre Island village,137188
Illinois,Trout Valley village,137083
California,Palo Alto city,137043
California,Clayton city,136946
New York,Montebello village,136845
New York,Manhasset Hills CDP,136786
New Jersey,Bernardsville borough,136563
Texas,New Territory CDP,136500
Texas,The Hills village,136500
New Jersey,Summit city,136491
Virginia,Hayfield CDP,136398
New York,Pelham village,136389
California,Port Costa CDP,136375
California,Moraga town,136336
New Jersey,Harrington Park borough,136313
Illinois,Bannockburn village,136250
Maryland,University Park town,136250
Pennsylvania,Glen Osborne borough,136250
California|Black Point,Black Point-Green Point CDP,136111
Missouri,Loch Lloyd village,136023
Pennsylvania,Thornburg borough,136000
Florida,Connerton CDP,135905
New Jersey,Haddonfield borough,135700
Maryland,Scaggsville CDP,135688
Massachusetts,Boxford CDP,135662
Kentucky,Rolling Fields city,135625
Virginia,Ivy CDP,135486
Texas,Cinco Ranch CDP,135439
Ohio,Hills and Dales village,135313
Maryland,Queensland CDP,135287
Wyoming,Chugcreek CDP,135284
Maryland,Clarksburg CDP,135274
California,San Carlos city,135220
California,Allendale CDP,135161
New Jersey,Rumson borough,135089
New York,Shelter Island Heights CDP,135063
Virginia,Buckhall CDP,134915
New Jersey,Middlebush CDP,134902
Nevada,Genoa CDP,134838
Pennsylvania,Evansburg CDP,134813
Hawaii,Maunawili CDP,134792
Texas,Sunset Valley city,134792
California,North Tustin CDP,134597
Texas,Pinewood Estates CDP,134591
New Jersey,Interlaken borough,134500
Washington|Lake Marcel,Lake Marcel-Stillwater CDP,134500
Nevada,Glenbrook CDP,134327
Alabama,Highland Lakes CDP,134315
Virginia,Burke CDP,134290
California,Fairbanks Ranch CDP,134250
California,San Ramon city,134188
Maryland,Fulton CDP,134118
Washington,Cottage Lake CDP,134107
California,Nicasio CDP,133750
Illinois,Lakewood village,133750
New Jersey,Old Tappan borough,133750
New York,West Hampton Dunes village,133750
New Jersey,Ramsey borough,133702
Maryland,Charlton CDP,133672
Texas,Parker city,133494
Texas,Bartonville town,133472
Texas,Trophy Club town,133457
Wisconsin,Maple Bluff village,133438
Texas,Lucas city,133419
Massachusetts,Cochituate CDP,133339
New Jersey,Harlingen CDP,133333
Maryland,Queen Anne CDP,133194
Kentucky,Hills and Dales city,133125
North Dakota,Monango city,133125
New Jersey,Skillman CDP,133068
New Jersey,Kinnelon borough,133000
Kansas,Lake Quivira city,132917
Ohio,Powell city,132917
Maryland,Kensington town,132750
Minnesota,Victoria city,132431
Colorado,Todd Creek CDP,132169
Ohio,Gates Mills village,132167
New York,Shoreham village,132083
Virginia,Gainesville CDP,132037
Texas,Scenic Oaks CDP,131969
New Jersey,Englewood Cliffs borough,131936
Ohio,Waite Hill village,131875
Washington,Tanner CDP,131875
New Jersey,Saddle River borough,131845
Maryland,Pylesville CDP,131833
New York|Setauket,Setauket-East Setauket CDP,131827
Connecticut,Cos Cob CDP,131563
Washington,Snoqualmie city,131453
New Hampshire,Amherst CDP,131450
California,Villa Park city,131386
Illinois,Barrington Hills village,131324
Michigan,Crystal Mountain CDP,131250
New York,Plainview CDP,131172
New York,Village of the Branch village,131146
Pennsylvania,Noblestown CDP,131042
New York,Kings Point village,131027
New Jersey,East Rocky Hill CDP,130987
New Jersey,Griggstown CDP,130972
New York,Herricks CDP,130924
Virginia,Newington CDP,130907
Florida,Pinecrest village,130900
New Jersey,Morganville CDP,130682
Connecticut,North Granby CDP,130649
California,Bradbury city,130625
New York,Tuxedo Park village,130625
Texas,Cross Roads town,130625
Washington|Union Hill,Union Hill-Novelty Hill CDP,130583
Maryland,Olney CDP,130532
Texas,Coyote Acres CDP,130513
Iowa,Mount Sterling CDP,130500
New York,Golden's Bridge CDP,130473
